Thực thể	Thuộc tính	Kiểu dữ liệu	Độ dài	Khóa	Null	Unique
users	user_id	UUID		PK	NO	YES
	employee_id	UUID		FK	NO	YES
	role_id	UUID		FK	NO	NO
	username	VARCHAR	50		NO	YES
	company_email	VARCHAR	255		NO	YES
	password_hash	TEXT			NO	NO
	is_locked	BOOLEAN			NO	NO
	locked_until	TIMESTAMPTZ			YES	NO
	avatar	TEXT			YES	NO
	status	VARCHAR	20		NO	NO
	created_at	TIMESTAMPTZ			NO	NO
	updated_at	TIMESTAMPTZ			NO	NO
roles	role_id	UUID		PK	NO	YES
	role_code	VARCHAR	10		NO	YES
	role_name	VARCHAR	100		NO	YES
	description	TEXT			YES	NO
	is_active	BOOLEAN			NO	NO
	created_at	TIMESTAMPTZ			NO	NO
	updated_at	TIMESTAMPTZ			NO	NO
permissions	permission_id	UUID		PK	NO	YES
	permission_code	VARCHAR	50		NO	YES
	permission_name	VARCHAR	100		NO	YES
	description	TEXT			YES	NO
	created_at	TIMESTAMPTZ			NO	NO
	updated_at	TIMESTAMPTZ			NO	NO
role_permissions	role_permissions_id	UUID		PK	NO	YES
	role_id	UUID		FK	NO	NO
	permission_id	UUID		FK	NO	NO
	created_at	TIMESTAMPTZ			NO	NO
login_logs	login_logs_id	UUID		PK	NO	YES
	user_id	UUID		FK	NO	NO
	user_sessions_id	UUID		FK	YES	NO
	login_time	TIMESTAMPTZ			NO	NO
	logout_time	TIMESTAMPTZ			YES	NO
	ip_address	VARCHAR	50		YES	NO
	device	TEXT			YES	NO
	location	TEXT			YES	NO
	result_login	VARCHAR	20		NO	NO
	failure_reason	TEXT			YES	NO
	created_at	TIMESTAMPTZ			NO	NO
audit_logs	audit_id	UUID		PK	NO	YES
	user_id	UUID		FK	NO	NO
	action_type	VARCHAR	50		NO	NO
	table_name	VARCHAR	100		NO	NO
	record_id	UUID			YES	NO
	old_value	JSONB			YES	NO
	new_value	JSONB			YES	NO
	action_time	TIMESTAMPTZ			NO	NO
	created_at	TIMESTAMPTZ			NO	NO
